Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-006690,2019-08,02/12/2019 10:00, , , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1222,SPRUCE,35, , ,1222,SPRUCE,0,0
19-006690,2019-08,02/12/2019 10:00, , , ,-1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1222,SPRUCE,35, , ,1222,SPRUCE,0,0
19-041360,2019-08,02/12/2019 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5370,PERSHING AVE,47, , ,5370,PERSHING,883875.9,1024655
19-006762,2019-08,02/12/2019 20:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6173,LAURA,76, , ,6173,LAURA,0,0
19-030008,2019-08,02/13/2018 12:00,Y, , ,1, , 44015,4,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,0,FOREST PARK AVE / S VANDEVENTE,37, ,@HQ,1915,OLIVE,893845,1020169
19-006918,2019-08,02/14/2019 09:15,Y, , ,1, , 43015,2,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3919,FOLSOM,28, , ,3919,FOLSOM,0,0
19-040643,2019-08,02/15/2019 12:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",5556,LANSDOWNE AVE,7, , ,5556,LANSDOWNE,881097.8,1003283
19-007587,2019-08,02/18/2019 16:50,Y, , ,1, , 36111,1,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,4600,CHIPPEWA ST,5, ,CHIPPEWA CRICKET STORE,4600,CHIPPEWA,885747.1,1003901
19-036973,2019-08,02/28/2019 00:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3925,LINDELL BLVD,38, , ,3925,LINDELL,894199,1021580
19-038064,2019-08,03/01/2019 12:08,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,5226,LOUISIANA AVE,1, , ,5226,LOUISIANA,891686.4,996347.8
19-036971,2019-08,03/02/2019 05:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4077,C D BANKS AVE,58, , ,4077,C D BANKS,894497.6,1024934
19-036963,2019-08,03/03/2019 17:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,908,N EUCLID AVE,53, , ,908,EUCLID,888859.5,1027198
19-039806,2019-08,03/03/2019 20:31,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5587,PAGE BLVD,78, , ,5587,PAGE,883368.7,1031021
19-036967,2019-08,03/05/2019 16:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5010,ENRIGHT AVE,51, , ,5010,ENRIGHT,887696.4,1026535
19-036977,2019-08,03/07/2019 02:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
19-039795,2019-08,03/07/2019 18:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5551,DR MARTIN LUTHER KING DR,50, , ,5551,DR MARTIN LUTHER KING,884559.3,1032679
19-038427,2019-08,03/08/2019 21:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,806,W SCHIRMER ST,1, , ,806,SCHIRMER,887092.7,989516.6
19-039427,2019-08,03/09/2019 16:25,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5708,KINGSBURY PL,46, , ,5708,KINGSBURY,881536.7,1026065
19-036965,2019-08,03/12/2019 18:44,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,702,N KINGSHIGHWAY BLVD,53, , ,702,KINGSHIGHWAY,888036.9,1026405
19-039800,2019-08,03/13/2019 02:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50, , ,5750,NATURAL BRIDGE,885556.4,1038533
19-036975,2019-08,03/13/2019 17:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1330,AUBERT AVE,53, , ,1330,AUBERT,888737.2,1029663
19-036869,2019-08,03/13/2019 18:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5000,NORTHLAND PL,55, , ,1900,OLIVE,0,0
19-036981,2019-08,03/15/2019 10:28,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION,3431,UNION,888884.8,1036000
19-039219,2019-08,03/16/2019 21:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
19-038156,2019-08,03/18/2018 00:01,Y, , ,1, ,175500,2,SEX OFFNS-SX MISCONDUCT/FIRST,2600,HEGER CT,13, , ,400,8TH,0,0
19-036974,2019-08,03/18/2019 01:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3920,FINNEY AVE,58, , ,3920,FINNEY,895556.6,1024478
19-012473,2019-08,03/19/2019 08:38,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0, , ,4900, ,0,0
19-036976,2019-08,03/20/2019 14:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1324,ACADEMY AVE,51, , ,1324,ACADEMY,887018.6,1029646
19-039197,2019-08,03/20/2019 16:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6062,CATES AVE,48, , ,6062,CATES,878771.2,1028583
19-036969,2019-08,03/20/2019 17:44,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4567,MCMILLAN AVE,54, , ,4567,MCMILLAN,890538.8,1027072
19-040498,2019-08,03/22/2018 12:33,Y, , ,1, ,121000,1,EMBEZZLEMENT-VALUE OVER $150,6155,S GRAND BLVD,1,PLANET FITNESS,PLANET FITNESS,6155,GRAND,889468,994413.8
19-039207,2019-08,03/25/2019 13:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
19-039785,2019-08,03/26/2017 09:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5835,SELBER CT,50, , ,5835,SELBER,885052.8,1037952
19-013424,2019-08,03/27/2019 16:50,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,MICHIGAN AVE / MOTT ST,1, , , , ,891028.4,991614.1
19-036964,2019-08,03/27/2019 19:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,900,N KINGSHIGHWAY BLVD,53, , ,900,KINGSHIGHWAY,887992.3,1027106
19-039768,2019-08,03/27/2019 19:21,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5937,WABADA AVE,50, , ,5937,WABADA,882576.6,1035592
19-030694,2019-08,03/28/2019 00:01,Y, , ,1, ,204100,6,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,8861,LOWELL ST,74, , ,8861,LOWELL,898033.6,1053153
19-039142,2019-08,03/28/2019 14:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4490,WEST PINE BLVD,38, ,@WEST PINE APTS,4490,WEST PINE,889270.1,1022184
19-036980,2019-08,03/28/2019 16:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4310,ST FERDINAND AVE,57, ,@JAMES HOUSE,4310,ST FERDINAND,894071.9,1029178
19-039198,2019-08,03/28/2019 17:08,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1469,LASALLE,33, , ,1469,LASALLE,0,0
19-036979,2019-08,03/29/2019 06:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4006,LINDELL BLVD,38, ,@MCDONALDS - LINDELL,4006,LINDELL,893414.3,1021641
19-041437,2019-08,04/01/2019 00:01,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,3916,DUNNICA AVE,16, , ,3916,DUNNICA,890882.1,1003003
19-039171,2019-08,04/03/2019 18:30,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,8300,ALABAMA AVE,2, , ,8300,ALABAMA,886180.3,987749.8
19-039206,2019-08,04/09/2019 07:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1407,HICKORY LN,33, , ,1407,HICKORY,904509.8,1013818
19-039481,2019-08,04/10/2019 09:06,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8300,CHURCH RD,74, , ,8300,CHURCH,896546.3,1048531
19-030386,2019-08,04/11/2019 00:01,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,4537,WESTMINSTER PL,38, , ,1114,MARKET,889703.6,1024905
19-042431,2019-08,04/14/2019 17:36,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,4151,QUINCY ST,4, , ,4151,QUINCY,884014.1,994692.1
19-039616,2019-08,04/15/2019 09:44,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8319,CHURCH RD,74, , ,8319,CHURCH,896346.3,1048600
17-018549,2019-08,04/19/2017 22:30, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,999,2ND,35, ,: @HOTEL- FOUR SEASONS,999,2ND,0,0
19-042214,2019-08,04/20/2019 12:00,Y, , ,1, ,117000,6,FAILURE TO RETURN BORROWED/RENTED VEHICL,4014,UNION BLVD,70, ,@NORTH PATROL DIVISION,4014,UNION,890074.4,1037079
19-042386,2019-08,04/21/2019 10:50,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1013,DILLON,33, , ,1430,CHOUTEAU,0,0
18-018431,2019-08,04/23/2018 11:30, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1224,DILLON,33, , ,1224,DILLON,0,0
19-039193,2019-08,04/23/2019 07:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1537,LASALLE,33, , ,1537,LASALLE,0,0
19-039433,2019-08,04/25/2019 13:42,Y, , ,1, ,103000,3,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,2832,CHEROKEE ST,19, ,WAT BUDDHA MANEERATANARAM TEMPLE,2832,CHEROKEE,897136.5,1005347
19-042362,2019-08,04/25/2019 16:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1414,MORRISON,33, , ,1414,MORRISON,0,0
19-038226,2019-08,04/27/2018 09:41,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3649,MICHIGAN AVE,19, , ,3649,MICHIGAN,895356.8,1003642
19-042556,2019-08,04/29/2019 07:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,2616,UNION BLVD,52, , ,2616,UNION,887738.9,1033330
19-030378,2019-08,05/01/2002 00:01,Y, , ,1, ,171200,4,SEX OFFNS-STATUATORY RAPE/FIRST,3900,SULLIVAN AVE,59, , ,3900,SULLIVAN,0,0
19-041439,2019-08,05/01/2019 00:01,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,3916,DUNNICA AVE,16, , ,3916,DUNNICA,890882.1,1003003
19-019653,2019-08,05/01/2019 12:40,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4115,MICHIGAN AVE,16, , ,4125,MICHIGAN,894897.5,1000712
19-042371,2019-08,05/03/2019 09:20,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1418,MORRISON,33, , ,1418,MORRISON,0,0
19-020083,2019-08,05/03/2019 21:32,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,2211,MARKET ST,36,SYBERGS RESTAURANT,@SYBERGS,2211,MARKET,902363.3,1018827
19-039849,2019-08,05/04/2019 14:50,Y, , ,1, ,112010,3,FRAUD-CREDIT DEVICE/OVER $150,1644,S JEFFERSON AVE,32, , ,1644,JEFFERSON,900068.9,1013179
19-042379,2019-08,05/06/2019 09:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1235,S 14TH,33, , ,1235,14TH,0,0
19-040525,2019-08,05/06/2019 14:51,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8319,CHURCH RD,74, , ,8319,CHURCH,896346.3,1048600
19-020928,2019-08,05/08/2019 06:30,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4115,CLARA PL,69, , ,4115,CLARA,892023.1,1036415
19-020974,2019-08,05/08/2019 14:15,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4300,GOODFELLOW BLVD,70, , , , ,886692.3,1040667
19-021239,2019-08,05/09/2019 23:20, , , ,-1, , 41021,3,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,3433,POTOMAC,19, , , , ,0,0
19-021239,2019-08,05/09/2019 23:20, , , ,1, ,263120,3,OBSTRUCT GOVRN OP-FALSE REPORT,3433,POTOMAC,19, , , , ,0,0
19-021239,2019-08,05/09/2019 23:20, , , ,-1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3433,POTOMAC,19, , , , ,0,0
19-039824,2019-08,05/10/2019 13:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,6105,ETZEL AVE,48, , ,6105,ETZEL,879425.1,1031441
19-021869,2019-08,05/13/2019 16:00, , , ,-1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3100,CHEROKEE,19, ,IN THE REAR ALLEY,3255,PENNSYLVANIA,0,0
19-040944,2019-08,05/15/2019 14:30,Y, , ,1, , 52322,3,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,1250,S 3RD ST,20,PUBLIC STORAGE, ,1250,3RD,907790.2,1012551
19-041144,2019-08,05/16/2019 15:25,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5032,DEWEY AVE,16, , ,5032,DEWEY,890473.1,997820
19-040231,2019-08,05/17/2019 18:21,Y, , ,1, , 51212,4,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,1121,BISSELL ST,66, , ,1121,BISSELL,904730.9,1033417
19-040215,2019-08,05/18/2019 12:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3935,PENNSYLVANIA AVE,16, , ,3919,PENNSYLVANIA,895720.3,1001706
19-040071,2019-08,05/20/2019 12:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4922,WINONA AVE,7, , ,4922,WINONA,884453.3,1003803
19-040797,2019-08,05/20/2019 22:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,0,HICKORY LN / ST ANGE LN,33, , , , ,904245.2,1013903
19-023578,2019-08,05/22/2019 14:30,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1200,JOSEPHINE BAKER AVE,77, , ,1200,JEFFERSON,898462.9,1023472
19-037879,2019-08,05/23/2019 08:00,Y, , ,1, ,111110,2,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3534,WATSON RD,9, ,@ROYAL BANKS,3534,WATSON,877347.9,1006670
19-023942,2019-08,05/24/2019 11:03,Y, , ,1, ,171200,5,SEX OFFNS-STATUATORY RAPE/FIRST,0,CLARA AVE / WELLS AVE,78, , , , ,0,0
19-025731,2019-08,05/24/2019 18:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,PENNSYLVANIA AVE / WINNEBAGO S,19, , , , ,896163.6,1003475
19-042820,2019-08,05/25/2019 12:00,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,7879,RIO SILVA PL,1, , ,7879,RIO SILVA,886065.6,989710.8
19-040668,2019-08,05/27/2019 08:00,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,5300,ARSENAL ST,13, , ,5300,ARSENAL,883530.5,1009029
19-041146,2019-08,05/30/2019 10:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,5032,DEWEY AVE,16, , ,5032,DEWEY,890473.1,997820
19-025019,2019-08,05/30/2019 15:00,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4866,GREER AVE,55, , ,4866,LABADIE,891055.1,1033476
19-040467,2019-08,05/31/2019 01:35,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1720,N 22ND ST,60, ,NUISANCE ABATMENT PROPERTY,1720,22ND,903803.9,1024156
19-025115,2019-08,05/31/2019 02:40, , , ,-1, , 31311,3,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,3000,MIAMI,19, , , , ,0,0
19-039434,2019-08,05/31/2019 07:30,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,540,FASSEN ST,1, , ,540,FASSEN,892435.9,995026.9
19-033572,2019-08,05/31/2019 13:59,Y, , ,1, , 23000,3,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,0,ILLINOIS AVE,19, , ,1900,OLIVE,0,0
19-026306,2019-08,06/01/2016 15:10,Y, , ,1, ,175100,2,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,5300,ARSENAL ST,13, , ,5300,ARSENAL,0,0
19-038050,2019-08,06/01/2019 03:15,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2315,LOCUST ST,36, , ,2315,LOCUST,902234.2,1019916
19-040248,2019-08,06/01/2019 09:00,Y, , ,1, , 71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,7909,S BROADWAY,2, , ,7909,BROADWAY,888586.4,987458.9
19-042232,2019-08,06/01/2019 12:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5439,GILMORE AVE,72, , ,5430,GILMORE,891433.8,1044737
19-040084,2019-08,06/01/2019 17:31,Y, , ,1, ,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL,2514,GROVER ST,50, , ,2514,GROVER,887262.8,1033175
19-040188,2019-08,06/01/2019 18:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",345,ROSEDALE AVE,46, , ,345,ROSEDALE,878273.1,1026039
19-025513,2019-08,06/02/2019 09:00,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3221,N NEWSTEAD AVE,56, , ,3221,NEWSTEAD,894917.8,1032027
19-039410,2019-08,06/03/2019 19:34,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,5592,PAGE BLVD,48, , ,5592,PAGE,883130.4,1030915
19-042884,2019-08,06/04/2018 17:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1720,MARKET ST,36,MAIN POST OFFICE, ,1720,MARKET,904195.4,1017639
19-038247,2019-08,06/05/2019 13:07,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3822,MINNESOTA AVE,16, , ,3822,MINNESOTA,895708.3,1002518
19-026250,2019-08,06/06/2019 03:00, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5184,ENRIGHT,51, , ,5184,ENRIGHT,0,0
19-031042,2019-08,06/06/2019 11:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1200,N 7TH ST,62, ,SUSPECT S GRANDMOTHER S RESIDENCE,700,BIDDLE,0,0
19-042099,2019-08,06/07/2019 11:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3650,NEOSHO ST,16, , ,3650,NEOSHO,891673.9,998854
19-038100,2019-08,06/07/2019 17:30,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,6000,SHULTE AVE,76, , ,6000,SHULTE,0,0
19-026641,2019-08,06/08/2019 00:30,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4400,PAGE BLVD,54,FOUNTAIN PARK,CITY PARK, , ,0,0
19-039741,2019-08,06/09/2019 00:30,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
19-041093,2019-08,06/10/2019 10:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4425,VISTA AVE,39, , ,4425,VISTA,888766.4,1016173
19-040924,2019-08,06/10/2019 23:55,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3659,DELOR ST,16, , ,3659,DELOR,891252.8,997804.3
19-039363,2019-08,06/11/2019 00:43,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4828,N BROADWAY,64, ,@HOTEL- FIRST WESTERN INN,4828,BROADWAY,904588.8,1034757
19-040707,2019-08,06/11/2019 18:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4720,S BROADWAY,17, , ,4720,BROADWAY,895912.1,996407
19-027347,2019-08,06/11/2019 20:46,Y, , ,1, , 44015,2,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,4339,POTOMAC ST,15, , ,4339,POTOMAC,887664.9,1005948
19-038418,2019-08,06/12/2019 23:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1410,OHIO AVE,31, , ,1410,OHIO,899701.4,1014582
19-042393,2019-08,06/14/2019 09:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1434,PEABODY,33, , ,1430,CHOUTEAU,0,0
19-040473,2019-08,06/14/2019 16:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3018,KOSSUTH AVE,67, ,NUISANCE ABATEMENT PROPERTY,3018,KOSSUTH,902408.9,1030599
19-027938,2019-08,06/14/2019 19:35,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4255,S COMPTON AVE,16, , , , ,894396,999697.6
19-040191,2019-08,06/15/2019 08:00,Y, , ,1, ,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL,4956,ST LOUIS AVE,55, ,UHAUL RENTAL,4956,ST LOUIS,890289.6,1033199
19-037816,2019-08,06/15/2019 23:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1527,COCHRAN PL,61, ,NUISANCE ABATEMENT PROPERTY,1527,COCHRAN,906256.9,1022439
19-038429,2019-08,06/16/2019 08:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3644,KOSCIUSKO ST,18, , ,3644,KOSCIUSKO,901120.1,1002738
19-028302,2019-08,06/16/2019 17:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1200,N 7TH ST,62, , ,1200,7TH,0,0
19-039985,2019-08,06/17/2019 00:01,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,315,N 11TH ST,35, , ,315,11TH,907182.8,1018218
19-037869,2019-08,06/18/2019 10:00,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3534,WATSON RD,9, ,@ROYAL BANKS,3534,WATSON,877347.9,1006670
19-039955,2019-08,06/19/2019 07:12,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
19-039196,2019-08,06/19/2019 08:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1117,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1117,8TH,908764.5,1020362
19-040907,2019-08,06/20/2019 00:01,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,500,N BROADWAY,35,JAVA PLUS CAFE & CATERING,@SWB BROADWAY BUILDING,500,BROADWAY,909358.4,1018233
