Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-027975,2019-10,6/15/19 1:42, , , ,-1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4674,KOSSUTH,69, ,:2ND FLOOR,4674,KOSSUTH,0,0
19-050220,2019-10,6/15/19 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,1610,N KINGSHIGHWAY BLVD,55, ,@WARWOOD APTS,1610,KINGSHIGHWAY,888692.6,1030783
19-049533,2019-10,6/16/19 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4402,NATURAL BRIDGE AVE,56, , ,4402,NATURAL BRIDGE,895263.6,1032809
19-052773,2019-10,6/18/19 8:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4532,RAY AVE,5, , ,4532,RAY,889062.6,1001130
19-053151,2019-10,6/18/19 8:50,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3625,HYDRAULIC AVE,15, , ,3625,HYDRAULIC,891468.6,1004063
19-051878,2019-10,6/18/19 17:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4231,NATURAL BRIDGE AVE,68, , ,4231,NATURAL BRIDGE,896900.4,1032130
19-049512,2019-10,6/18/19 17:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4231,NATURAL BRIDGE AVE,68, , ,4231,NATURAL BRIDGE,896900.4,1032130
19-052010,2019-10,6/20/19 0:01,Y, , ,1, ,69702,6,LARCENY-ALL OTHER UNDER $500,6140,W FLORISSANT AVE,76, , ,6140,FLORISSANT,890372.1,1048014
19-051900,2019-10,6/24/19 20:15,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
19-049290,2019-10,6/28/19 2:00,Y, , ,1, ,95200,1,AGGRAVATED STALKING (THREAT OF DEATH OR SERIOU,7614,TENNESSEE AVE,1,RESIDENCE, ,7614,TENNESSEE,886820.9,990010.1
19-036459,2019-10,6/29/19 0:01,Y, , ,1, ,171200,4,SEX OFFNS-STATUATORY RAPE/FIRST,1900,OLIVE ST,36, , ,1900,OLIVE,0,0
19-051901,2019-10,6/30/19 10:10,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,857,RIVERTRAIL CT,74, , ,857,RIVERTRAIL,899038.8,1054168
19-031457,2019-10,7/2/19 19:00,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,6600,IDAHO AVE,1, , ,6600,IDAHO,0,0
19-051904,2019-10,7/3/19 15:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4257,SHREVE AVE,69, , ,4257,SHREVE,894040.8,1036514
19-051906,2019-10,7/5/19 21:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,826,GUSTAV AVE,74, , ,826,GUSTAV,897463.4,1052518
19-024018,2019-10,7/7/12 0:01,Y, , ,1, ,21000,2,RAPE -- FORCIBLE,5600,CHIPPEWA ST,14, , ,5600,CHIPPEWA,0,0
19-024018,2019-10,7/7/12 0:01,Y, , ,1, ,21000,2,RAPE -- FORCIBLE,5600,CHIPPEWA ST,14, , ,5600,CHIPPEWA,0,0
19-053389,2019-10,7/8/19 12:28,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
19-032542,2019-10,7/8/19 18:59, , , ,-1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,KINGSHIGHWAY,69, , , , ,0,0
19-053154,2019-10,7/10/19 18:00,Y, , ,1, ,69702,3,LARCENY-ALL OTHER UNDER $500,3121,HICKORY ST,31, , ,3121,HICKORY,897582.6,1015780
19-051639,2019-10,7/12/19 17:33,Y, , ,1, ,65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0, , ,2233,WASHINGTON,0,0
19-051903,2019-10,7/14/19 14:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,842,RIVER RUN CT,75, , ,842,RIVER RUN,899316.4,1054473
19-052751,2019-10,7/15/19 8:00,Y, , ,1, ,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3702,NEOSHO ST,16, , ,3702,NEOSHO,891489.3,998968.4
19-049159,2019-10,7/16/19 15:15,Y, , ,1, ,262200,4,PORNAGRAPHY-FURNISHING TO MINOR,811,SPRUCE ST,35,WESTIN HOTEL,HOTEL ROOM 307,811,SPRUCE,907472.1,1015934
19-051902,2019-10,7/17/19 8:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4222,E KOSSUTH AVE,68, , ,4222,KOSSUTH,897631.7,1033342
19-050680,2019-10,7/18/19 12:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-050667,2019-10,7/20/19 6:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-034778,2019-10,7/20/19 16:00,Y, , ,1, ,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3215,NATURAL BRIDGE AVE,67, ,RESIDENCE/HOME,3215,NATURAL BRIDGE,901634.2,1029519
19-050533,2019-10,7/21/19 10:00,Y, , ,1, ,52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,5801,WILSON AVE,12, , ,5801,WILSON,881898.8,1013889
19-050677,2019-10,7/21/19 16:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-053200,2019-10,7/25/19 12:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1530,LAFAYETTE AVE,33, , ,1530,LAFAYETTE,903270.1,1012207
19-036320,2019-10,7/26/19 16:00,Y, , ,1, ,67701,4,LARCENY-FROM BUILDING UNDER $500,0,N 4TH ST / OLIVE ST,35,HILTON HOTEL,HILTON HOTEL, , ,909394.4,1017501
19-053020,2019-10,7/28/19 15:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
19-050825,2019-10,7/28/19 17:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-051487,2019-10,7/28/19 22:00,Y, , ,1, ,69602,6,"LARCENY-ALL OTHER $500 - $24,999",4258,PRAIRIE AVE,67, , , , ,901435.9,1032822
19-048777,2019-10,7/29/19 12:18,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,845,ELIAS AVE,74, ,ALLEY,845,ELIAS,897083.4,1051657
19-036591,2019-10,7/30/19 1:30, , , ,-1, ,175500,5,SEX OFFNS-SX MISCONDUCT/FIRST,4400,MAFFITT,57, , ,4400,MAFFITT,0,0
19-052138,2019-10,7/30/19 17:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,ACADEMY AVE / DELMAR BLVD,38, , , , ,886733.8,1026275
19-052427,2019-10,7/30/19 19:20,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2812,SEMPLE AVE,50, , ,2812,SEMPLE,886786.3,1034531
19-042189,2019-10,7/31/19 13:00, , , ,-1, ,21000,3,RAPE -- FORCIBLE,4000,MINNESOTA,16, ,@DUNN MARQUETTE REC CENTER,3400,MIAMI,0,0
19-050496,2019-10,8/1/18 12:00,Y, , ,1, ,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,1900,WARREN ST,60, , ,1900,WARREN,0,0
19-051925,2019-10,8/1/19 3:45,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",430,S 15TH ST,36,GREYHOUND BUS STATION, ,430,15TH,904845.8,1016613
19-049534,2019-10,8/1/19 10:08,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5215,LISETTE AVE,6, , ,5215,LISETTE,881316.5,998503.6
19-054541,2019-10,8/1/19 12:00,Y, , ,1, ,69702,5,LARCENY-ALL OTHER UNDER $500,5864,ENRIGHT AVE,48, , ,5864,ENRIGHT,880459.9,1027508
19-049164,2019-10,8/3/19 7:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500,7112,ALABAMA AVE,1, , ,7112,ALABAMA,889016.4,990724.9
19-053000,2019-10,8/3/19 13:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3846,S GRAND BLVD,16, , ,3846,GRAND,893423.6,1002800
19-037717,2019-10,8/4/19 10:30,Y, , ,1, ,41015,6,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC,5421,PLOVER AVE,72, , , , ,891905.3,1043773
19-050848,2019-10,8/4/19 19:50,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-038141,2019-10,8/5/19 20:30,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,1013,HORNSBY AVE,74, , ,1013,HORNSBY,896278.1,1050779
19-053391,2019-10,8/6/19 12:31,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
19-050698,2019-10,8/8/19 8:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,9021,RIVERVIEW DR,74, , ,9021,RIVERVIEW,899006.1,1053991
19-050828,2019-10,8/9/19 9:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-051899,2019-10,8/9/19 20:45,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8519,CONCORD PL,74, , ,8519,CONCORD,896972.9,1050233
19-051076,2019-10,8/10/19 11:30,Y, , ,1, ,73313,2,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,4609,BECK AVE,15, , ,4609,BECK,886123.4,1004610
19-051043,2019-10,8/10/19 11:59,Y, , ,1, ,63601,1,"LARCENY-SHOPLIFT $500 - $24,999",932,LOUGHBOROUGH AVE,1, ,@LOUGHBOROUGH COMMONS - LOWES,950,LOUGHBOROUGH,888524.2,991611.8
19-039834,2019-10,8/11/19 0:01, , , ,-1, ,21000,4,RAPE -- FORCIBLE,3600,N 19TH ST,65,ALPHA FRATERNITY HOUSE,@ALPHA HOUSE,900,JEFFERSON,0,0
19-039834,2019-10,8/11/19 0:01,Y, , ,1, ,21000,4,RAPE -- FORCIBLE,3600,N 19TH ST,65,ALPHA FRATERNITY HOUSE,@ALPHA HOUSE,900,JEFFERSON,0,0
19-038922,2019-10,8/11/19 1:30,Y, , ,1, ,263120,6,OBSTRUCT GOVRN OP-FALSE REPORT,4402,LEE,68, ,PENROSE/NEWSTEAD,4402,LEE,0,0
19-038922,2019-10,8/11/19 1:30, , , ,-1, ,38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,4402,LEE,68, ,PENROSE/NEWSTEAD,4402,LEE,0,0
19-039235,2019-10,8/11/19 12:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / SWITZER AVE,86, , , , ,897208.8,1045886
19-039004,2019-10,8/11/19 12:20,Y, , ,1, ,42014,5,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,7,MARYLAND PLZ,38, , ,7,MARYLAND,888340.1,1023682
19-039028,2019-10,8/11/19 16:20, , , ,-1, ,84000,1,ARSON-RECKLESSLY BURNING, , ,17, , , , ,0,0
19-051198,2019-10,8/11/19 22:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,916,NEW HAVEN CT,62, ,NUISANCE ABATEMENT PROPERTY,916,NEW HAVEN,908767.5,1021919
19-051161,2019-10,8/12/19 6:00,Y, , ,1, ,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5096,ARLINGTON AVE,71, , ,5096,ARLINGTON,892715.2,1041312
19-039203,2019-10,8/12/19 11:50,Y, , ,1, ,41013,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1110,SALISBURY ST,65, , , , ,906432.9,1029817
19-039203,2019-10,8/12/19 11:50,Y, , ,1, ,41013,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1110,SALISBURY ST,65, , , , ,906432.9,1029817
19-039203,2019-10,8/12/19 11:50,Y, , ,1, ,41016,4,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1110,SALISBURY ST,65, , , , ,906432.9,1029817
19-053002,2019-10,8/12/19 17:11,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
19-054961,2019-10,8/13/19 10:00,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",3915,OLIVE ST,38, , ,3915,OLIVE,894624.9,1022655
19-039792,2019-10,8/14/19 14:00,Y, , ,1, ,21000,4,RAPE -- FORCIBLE,1000,COLE ST,62, , ,1900,OLIVE,0,0
19-040012,2019-10,8/16/19 12:21,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5800,PAGE BLVD,48, , , , ,882002.6,1031701
19-040094,2019-10,8/16/19 19:35,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2810,N 13TH ST,63, , ,2810,13TH,906934,1026332
19-052083,2019-10,8/17/19 2:30,Y, , ,1, ,44013,3,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",0,CHOUTEAU AVE / S TUCKER BLVD,34, , , , ,905532,1014351
19-050831,2019-10,8/17/19 8:00,Y, , ,1, ,65701,2,LARCENY-MTR VEH PARTS UNDER $500,6053,ODELL ST,11,UNKOWN,UNKNOWN,6053,ODELL,879535.2,1010788
19-051491,2019-10,8/17/19 12:06,Y, , ,1, ,112010,1,FRAUD-CREDIT DEVICE/OVER $150,3889,FEDERER PL,3, , ,3889,FEDERER,887636.3,995127.5
19-040245,2019-10,8/17/19 19:37,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,3930,PAGE BLVD,58, , , , ,895847.6,1025270
19-051181,2019-10,8/18/19 3:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1813,CASS AVE,60, ,NUISANCE ABATEMENT PROPERTY,1813,CASS,905529.8,1023094
19-051176,2019-10,8/18/19 8:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1212,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1200,8TH,908854.8,1020688
19-040365,2019-10,8/18/19 15:30,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5834,SELBER CT,50, , ,5834,SELBER,885088.8,1037930
19-045412,2019-10,8/19/19 11:53,Y, , ,1, ,122000,5,EMBEZZLEMENT-VALUE UNDER $150,727,N KINGSHIGHWAY BLVD,51,FAMILY DOLLAR, ,727,KINGSHIGHWAY,887687.2,1026467
19-050650,2019-10,8/19/19 14:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
19-050830,2019-10,8/19/19 15:42,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1400,8TH,909212.8,1022017
19-054705,2019-10,8/21/19 15:30,Y, , ,1, ,65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0, , , , ,0,0
19-041011,2019-10,8/21/19 15:30,Y, , ,1, ,44015,6,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,4223,SACRAMENTO AVE,68, , ,4223,SACRAMENTO,897174,1032321
19-045126,2019-10,8/22/19 7:52,Y, , ,1, ,95100,1,"STALKING (HARASSMENT ONLY, NO THREAT)",3904,HYDRAULIC AVE,16, ,@HQ,1915,OLIVE,891497.8,1002535
19-041264,2019-10,8/22/19 19:00,Y, , ,1, ,43015,5,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,5600,HIGHLAND AVE,50, , , , ,885072.4,1034436
19-042106,2019-10,8/23/19 13:27,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,TARGET, ,4255,HAMPTON,878653.4,1004650
19-050413,2019-10,8/23/19 21:00,Y, , ,1, ,64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2901,S JEFFERSON AVE,30, , ,2901,JEFFERSON,899007.8,1007792
19-041554,2019-10,8/24/19 12:39,Y, , ,1, ,63701,1,LARCENY-SHOPLIFT UNDER $500,5324,VIRGINIA AVE,1,FAMILY DOLLAR, ,5324,VIRGINIA,893098.5,995140.6
19-041905,2019-10,8/24/19 22:30, , , ,-1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,265,UNION,47, , ,265,UNION,0,0
19-050028,2019-10,8/25/19 9:00,Y, , ,1, ,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",1515,LAFAYETTE AVE,33, , ,1515,LAFAYETTE,903528,1012566
19-041721,2019-10,8/25/19 11:00,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1303,PARK AVE,33, , ,1303,PARK,904545.4,1013015
19-041891,2019-10,8/26/19 9:15,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",519,EILER ST,1, , ,519,EICHELBERGER,892771.1,995294.8
